alist-encrypt  | 2026-06-05T07:13:52 [req-c12d4e] [api:/auth] [request] POST /api/auth/login status=200 bytes=238 duration=2.617514ms
alist-encrypt  | 2026-06-05T07:14:03+08:00 INF Normalized V2 playback sizes ciphertext_size=1136828276 client_range= file_size_after=1136828244 file_size_before=1136828276 header_len=32 plaintext_size=1136828244 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/5f68a7bd490741119f14ed52d9e32f8e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0%2B5V%2BYO0--1.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231403Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FttbFm-KrF2f7WHKwHZBJO6BVzgWwqwFn&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=a4b0d7f596ab35f03a9bc87efa19161b2b5c50f26b2e1ca4f91b670d35619869 upstream_content_range="bytes 0-1136828275/1136828276"
alist-encrypt  | 2026-06-05T07:14:03+08:00 INF Normalized V2 playback sizes ciphertext_size=2085670464 client_range=bytes=2045- file_size_after=2085670432 file_size_before=2085670464 header_len=32 plaintext_size=2085670432 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/a8b547bf029f4718bc2e829ac5372858086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg035V%2BYO0--6.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231403Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FjYQIyiNJFyXILcW9a9dIYZsHA1RxSQEl&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=f5b699d7a6503ca42ab6bd40434ca1517e4643c250e4faa3ec268dab1cfa0ea1 upstream_content_range="bytes 2077-2085670463/2085670464"
alist-encrypt  | 2026-06-05T07:14:03+08:00 INF Normalized V2 playback sizes ciphertext_size=2168243790 client_range= file_size_after=2168243758 file_size_before=2168243790 header_len=32 plaintext_size=2168243758 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/18b691d8280347da802530a78fbd8bf9086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0p5V%2BYO0--3.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231403Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FojDWJGOCQu69QjSOKm5H-bSz3boxglTu&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=9b3b8997deb8f6aa44671fa50f0605b73537cbebbe1f460894617243b12ae12c upstream_content_range="bytes 0-2168243789/2168243790"
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [propfind] Timings upstream=7.454688ms parse=4.316142ms decrypt=35.724µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:04 [req-dc6d12] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=207 bytes=581 duration=11.91947ms
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=31)
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] File size: 1990866734, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:04 [req-527047] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:04+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=1990866734 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" plaintext_size=1990866702 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:04+08:00 INF Normalized V2 playback sizes ciphertext_size=1990866734 client_range=bytes=1990866722- file_size_after=1990866702 file_size_before=1990866702 header_len=32 plaintext_size=1990866702 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/b9d880f7292e4fd2b362ca01409aec82086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0o5V%2BYO0--v.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231404Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlQyrgyGl9tQfyKK6FkFLCYOPoB1zpeDU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=54cab023d33efcb955c707b6b0419fb3641449066dbf9bcc5ea58b566adc7b34 upstream_content_range=
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR Error streaming decrypted content error="context canceled"
alist-encrypt  | 2026-06-05T07:14:04+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" failure_reason=network_error fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin"
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR WebDAV GET decryption failed error="context canceled" failure=network_error path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4"
alist-encrypt  | 2026-06-05T07:14:04 [req-0be7fa] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 status=200 bytes=159744 duration=1.272868913s
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR Error streaming decrypted content error="context canceled"
alist-encrypt  | 2026-06-05T07:14:04+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" failure_reason=network_error fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0+5V+YO0--1.bin"
alist-encrypt  | 2026-06-05T07:14:04 [req-f5d167] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4 status=200 bytes=147456 duration=1.356250543s
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR WebDAV GET decryption failed error="context canceled" failure=network_error path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part005.mp4"
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR Error streaming decrypted content error="context canceled"
alist-encrypt  | 2026-06-05T07:14:04+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" failure_reason=network_error fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4" range=bytes=2045- strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg035V+YO0--6.bin"
alist-encrypt  | 2026-06-05T07:14:04+08:00 ERR WebDAV GET decryption failed error="context canceled" failure=network_error path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4"
alist-encrypt  | 2026-06-05T07:14:04 [req-fabbd0] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part004.mp4 status=206 bytes=106528 duration=1.365826519s
alist-encrypt  | 2026-06-05T07:14:05 [req-527047] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=502 bytes=32 duration=1.205829306s
alist-encrypt  | 2026-06-05T07:14:05+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=range_invalid fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range=bytes=1990866722- strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:05+08:00 ERR WebDAV GET decryption failed error="requested range not satisfiable, file size: 1990866702" failure=range_invalid path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4"
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [propfind] Timings upstream=2.325111ms parse=1.246609ms decrypt=40.476µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:05 [req-ef0435] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=207 bytes=581 duration=3.688017ms
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=32)
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] File size: 1990866734, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:05 [req-ed2269] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:05+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=1990866734 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" plaintext_size=1990866702 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:05+08:00 INF Normalized V2 playback sizes ciphertext_size=1990866734 client_range=bytes=1989201217- file_size_after=1990866702 file_size_before=1990866702 header_len=32 plaintext_size=1990866702 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/b9d880f7292e4fd2b362ca01409aec82086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0o5V%2BYO0--v.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231405Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlQyrgyGl9tQfyKK6FkFLCYOPoB1zpeDU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=d1a287246b1b9697167f55d009f64b856d9904c95ba8ef882415f4c068593d05 upstream_content_range="bytes 1989201249-1990866733/1990866734"
alist-encrypt  | 2026-06-05T07:14:06 [req-3b0fd0] [api:/auth] [request] POST /api/auth/login status=200 bytes=236 duration=2.089149ms
alist-encrypt  | 2026-06-05T07:14:06 [req-499b92] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=2.051362ms
alist-encrypt  | 2026-06-05T07:14:06 [req-0a5ae1] [api:/task] [request] GET /api/task/upload/done status=200 bytes=66 duration=2.20663ms
alist-encrypt  | 2026-06-05T07:14:06 [req-1b885b] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=1.962085ms
alist-encrypt  | 2026-06-05T07:14:06+08:00 ERR Error streaming decrypted content error="write tcp 172.18.0.10:5344->192.168.1.7:40488: write: broken pipe"
alist-encrypt  | 2026-06-05T07:14:06+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=network_error fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:06+08:00 ERR WebDAV GET decryption failed error="write tcp 172.18.0.10:5344->192.168.1.7:40488: write: broken pipe" failure=network_error path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4"
alist-encrypt  | 2026-06-05T07:14:06 [req-3861c3] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=200 bytes=10645472 duration=3.857636249s
alist-encrypt  | 2026-06-05T07:14:07 [req-ed2269] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=206 bytes=1665485 duration=1.588454973s
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [propfind] Timings upstream=2.112308ms parse=1.522918ms decrypt=40µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:07 [req-35469c] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=207 bytes=581 duration=3.749815ms
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=33)
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] File size: 1990866734, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:07 [req-6922d3] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:07+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=1990866734 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" plaintext_size=1990866702 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:07+08:00 INF Normalized V2 playback sizes ciphertext_size=1990866734 client_range=bytes=1990866702- file_size_after=1990866702 file_size_before=1990866702 header_len=32 plaintext_size=1990866702 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/b9d880f7292e4fd2b362ca01409aec82086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0o5V%2BYO0--v.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231407Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlQyrgyGl9tQfyKK6FkFLCYOPoB1zpeDU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=240bb77b0112fad02e59bbf1e29be42df7a1b507106a4a85cd16039bfed432a0 upstream_content_range=
alist-encrypt  | 2026-06-05T07:14:08+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=range_invalid fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range=bytes=1990866702- strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:08+08:00 ERR WebDAV GET decryption failed error="requested range not satisfiable, file size: 1990866702" failure=range_invalid path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4"
alist-encrypt  | 2026-06-05T07:14:08 [req-6922d3] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=502 bytes=32 duration=1.104426865s
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin rule=FindByPath
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [propfind] Timings upstream=2.57521ms parse=1.410459ms decrypt=42.573µs entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:14:09 [req-9727d5] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=207 bytes=581 duration=4.132495ms
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=34)
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] File size: 1990866734, strategy: file_info_cache
alist-encrypt  | 2026-06-05T07:14:09 [req-925770] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-05T07:14:09+08:00 INF Inspected V2 playback content meta category=playback ciphertext_size=1990866734 consumer_scenario=webdav_get header_len=32 path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" plaintext_size=1990866702 target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-05T07:14:09+08:00 INF Normalized V2 playback sizes ciphertext_size=1990866734 client_range=bytes=1990866702- file_size_after=1990866702 file_size_before=1990866702 header_len=32 plaintext_size=1990866702 target_url=https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/b9d880f7292e4fd2b362ca01409aec82086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2B5VOWe~OQG%2BctcG4of%2BmQeoHYlfL3cg0o5V%2BYO0--v.bin&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260604T231409Z&X-Amz-SignedHeaders=host&X-Amz-Expires=900&X-Amz-Credential=9T1UKBIX6OJSR5XN2F2T%2F20260604%2Fdefault%2Fs3%2Faws4_request&t=2&u=1039986731129007951&ot=personal&oi=1039986731129007951&f=FlQyrgyGl9tQfyKK6FkFLCYOPoB1zpeDU&ext=eyJ1dCI6MX0%3D&X-Amz-Signature=cad6e9bfa112f291ca4bd40fce5c8ebbcde7b72ba09496b678e5aaca755916f7 upstream_content_range=
