alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [propfind] Timings upstream=3.508393ms parse=2.651997ms decrypt=70.022µs entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:38 [req-8758a5] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=207 bytes=581 duration=6.366625ms
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=34)
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] File size: 1990866734, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=228 zeros=0
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0p5V+YO0--3.bin"
alist-encrypt  | 2026-06-04T20:17:38 [req-34c82d] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4 status=502 bytes=44 duration=691.942094ms
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part003.mp4"
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4 -> /移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [propfind] Timings upstream=4.997525ms parse=3.335632ms decrypt=68.756µs entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:38 [req-1932b8] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 status=207 bytes=581 duration=8.920027ms
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [propfind] Timings upstream=5.121231ms parse=3.536972ms decrypt=856.313µs entries=1 bytes=594
alist-encrypt  | 2026-06-04T20:17:38 [req-f545a9] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4 status=207 bytes=594 duration=9.739131ms
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4 -> /移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 real=/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=35)
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] File size: 1833849240, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4 real=/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=36)
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] File size: 6563097521, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=222 zeros=4
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=223 zeros=1
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=222 zeros=4
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0o5V+YO0--v.bin"
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4"
alist-encrypt  | 2026-06-04T20:17:38 [req-e1684a] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part002.mp4 status=502 bytes=44 duration=556.891669ms
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/hhd800.com@MFCW-073.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/hhd800.com@MFCW-073.mp4 -> /移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=3
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin"
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [propfind] Timings upstream=4.245193ms parse=3.525264ms decrypt=67.538µs entries=1 bytes=565
alist-encrypt  | 2026-06-04T20:17:38 [req-465f47] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4 status=207 bytes=565 duration=7.982765ms
alist-encrypt  | 2026-06-04T20:17:38 [req-fc54b4] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 status=502 bytes=44 duration=598.996995ms
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4"
alist-encrypt  | 2026-06-04T20:17:38+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=223 zeros=1
alist-encrypt  | 2026-06-04T20:17:38+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/I9~dIhmzFxHqI63Xcq4DcpUp5CkHEzjLU~r85GXpOZHtage-F.bin"
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/hhd800.com@MFCW-073.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/hhd800.com@MFCW-073.mp4 -> /移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/hhd800.com@892OERO-001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/hhd800.com@892OERO-001.mp4 -> /移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38+08:00 ERR WebDAV GET decryption failed error="decryption validation failed: output appears encrypted (wrong password or file size?)" failure=decrypt_validation_failed path="/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4"
alist-encrypt  | 2026-06-04T20:17:38 [req-569fe8] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/madoubt.com 228353.xyz IPZZ-835.mp4 status=502 bytes=44 duration=608.963114ms
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4 real=/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=37)
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] File size: 3518023867, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-71087c] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [propfind] Timings upstream=5.39459ms parse=2.642274ms decrypt=57.196µs entries=1 bytes=571
alist-encrypt  | 2026-06-04T20:17:38 [req-c2b03f] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4 status=207 bytes=571 duration=8.227473ms
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [propfind] Listing: /移动云盘156/encrypt/4k2.me@start-521ch.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [propfind] Using cached enc path: /移动云盘156/encrypt/4k2.me@start-521ch.mp4 -> /移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [propfind] Request path=/移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin rule=FindByPath
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/hhd800.com@892OERO-001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/hhd800.com@892OERO-001.mp4 -> /移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4 real=/移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=38)
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] File size: 2549052451, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-0a339f] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [propfind] Timings upstream=3.516392ms parse=3.656848ms decrypt=56.351µs entries=1 bytes=564
alist-encrypt  | 2026-06-04T20:17:38 [req-730309] [移动云盘156:/encrypt] [request] PROPFIND /dav/移动云盘156/encrypt/4k2.me@start-521ch.mp4 status=207 bytes=564 duration=7.481071ms
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] Processing: /移动云盘156/encrypt/4k2.me@start-521ch.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] Path converted: /移动云盘156/encrypt/4k2.me@start-521ch.mp4 -> /移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] raw_url fresh fetch failed, display=/移动云盘156/encrypt/4k2.me@start-521ch.mp4 real=/移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin status=200 reason=raw_url_empty
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] Using /dav fallback target for display=/移动云盘156/encrypt/4k2.me@start-521ch.mp4
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [strategy] Using learned strategy file_info_cache for path /移动云盘156/encrypt (success=39)
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] File size: 7639403829, strategy: file_info_cache
alist-encrypt  | 2026-06-04T20:17:38 [req-a7e2e5] [移动云盘156:/encrypt] [webdav-get] Proxying with decryption, target=http://openalist:5244/dav/移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin
alist-encrypt  | 2026-06-04T20:17:39+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=219 zeros=1
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=221 zeros=2
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/hhd800.com@892OERO-001.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIU0DQGLswmLs5G0YcZHtage-F.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=224 zeros=2
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/4k2.me@start-521ch.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/4k2.me@start-521ch.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/4k2.me@start-521ch.mp4" failure_reason=decrypt_validation_failed fresh_retry=true path="/移动云盘156/encrypt/4k2.me@start-521ch.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/O7Jo5V+1eSO3lfL35GUoc9OT5V+YO0--J.bin"
alist-encrypt  | 2026-06-04T20:17:39+08:00 WRN Decrypted data looks encrypted — wrong password or file size? sample_len=512 unique_bytes=219 zeros=1
alist-encrypt  | 2026-06-04T20:17:39+08:00 INF Decrypt playback attempt failed category=playback consumer_scenario=webdav_get display_path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" failure_reason=decrypt_validation_failed fresh_retry=false path="/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4" range= strategy=range target_url="http://openalist:5244/dav/移动云盘156/encrypt/87kdQg0Y5VOWIUjOwdOf5G0hcoHtage-0.bin"
alist-encrypt  | 2026-06-04T20:17:39 [req-71087c] [移动云盘156:/encrypt] [request] GET /dav/移动云盘156/encrypt/hhd800.com@MFCW-073.mp4 status=502 bytes=44 duration=544.932339ms
